2018 Headline,2018 hierarchy_level,2017 Headline,2017 hierarchy_level,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§6106. Repealed. Pub. L. 94–455, title XII, §1202(h)(1), Oct. 4, 1976, 90 Stat. 1688]",6.Section,0.79,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§6162. Repealed. Pub. L. 94–455, title XIX, §1906(a)(12), Oct. 4, 1976, 90 Stat. 1825]",6.Section,0.78,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§6417. Repealed. Pub. L. 94–455, title XIX, §1906(a)(25), Oct. 4, 1976, 90 Stat. 1827]",6.Section,0.79,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§6680. Repealed. Pub. L. 94–455, title XIX, §1904(b)(10)(A)(vi)(I), Oct. 4, 1976, 90 Stat. 1817]",6.Section,0.84,24,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§6681. Repealed. Pub. L. 94–455, title XIX, §1904(b)(10)(D)(i), Oct. 4, 1976, 90 Stat. 1817]",6.Section,0.84,20,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7233. Repealed. Pub. L. 94–455, title XIX, §1952(n)(2)(A), Oct. 4, 1976, 90 Stat. 1846]",6.Section,0.82,18,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7234. Repealed. Pub. L. 94–455, title XIX, §1904(b)(7)(B)(i), Oct. 4, 1976, 90 Stat. 1815]",6.Section,0.83,19,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7235. Repealed. Pub. L. 94–455, title XIX, §1904(b)(9)(B)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.83,20,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7239. Repealed. Pub. L. 94–455, title XIX, §1904(b)(8)(D)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.80,20,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7263. Repealed. Pub. L. 94–455, title XIX, §1952(n)(3)(A), Oct. 4, 1976, 90 Stat. 1846]",6.Section,0.83,18,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7264. Repealed. Pub. L. 94–455, title XIX, §1904(b)(9)(C)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.83,19,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7265. Repealed. Pub. L. 94–455, title XIX, §1904(b)(7)(C)(i), Oct. 4, 1976, 90 Stat. 1815]",6.Section,0.84,20,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7267. Repealed. Pub. L. 94–455, title XIX, §1904(b)(8)(E)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.81,20,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7274. Repealed. Pub. L. 94–455, title XIX, §1904(b)(8)(E)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.81,19,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7515. Repealed. Pub. L. 94–455, title XII, §1202(h)(4), Oct. 4, 1976, 90 Stat. 1688]",6.Section,0.85,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§7641. Repealed. Pub. L. 94–455, title XIX, §1906(a)(54), Oct. 4, 1976, 90 Stat. 1832]",6.Section,0.83,15,0.56
§5. Cross references relating to tax on individuals,6.Section,§5. Cross references relating to tax on individuals,6.Section,1.00,0,1.00
§5. Cross references relating to tax on individuals,6.Section,§12. Cross references relating to tax on corporations,6.Section,0.69,13,0.60
PART II—TAX ON CORPORATIONS,4.Part,PART I—TAX ON INDIVIDUALS,4.Part,0.81,12,0.33
PART II—TAX ON CORPORATIONS,4.Part,PART II—TAX ON CORPORATIONS,4.Part,1.00,0,1.00
PART II—TAX ON CORPORATIONS,4.Part,PART I—DISTRIBUTIONS BY CORPORATIONS,4.Part,0.80,13,0.33
PART II—TAX ON CORPORATIONS,4.Part,PART II—CORPORATE LIQUIDATIONS,4.Part,0.92,14,0.17
PART II—TAX ON CORPORATIONS,4.Part,PART II—METHODS OF ACCOUNTING,4.Part,0.80,15,0.14
PART II—TAX ON CORPORATIONS,4.Part,PART II—PRIVATE FOUNDATIONS,4.Part,0.83,12,0.17
PART II—TAX ON CORPORATIONS,4.Part,PART II—PERSONAL HOLDING COMPANIES,4.Part,0.87,18,0.14
PART II—TAX ON CORPORATIONS,4.Part,PART II—INCOME IN RESPECT OF DECEDENTS,4.Part,0.87,23,0.11
PART II—TAX ON CORPORATIONS,4.Part,PART II—OTHER INSURANCE COMPANIES,4.Part,0.82,18,0.14
PART II—TAX ON CORPORATIONS,4.Part,PART II—REAL ESTATE INVESTMENT TRUSTS,4.Part,0.82,23,0.12
PART II—TAX ON CORPORATIONS,4.Part,PART II—TAX TREATMENT OF SHAREHOLDERS,4.Part,0.88,20,0.29
PART II—TAX ON CORPORATIONS,4.Part,PART I—TAX TREATMENT OF COOPERATIVES,4.Part,0.80,16,0.12
PART II—TAX ON CORPORATIONS,4.Part,PART II—TAX BENEFITS FOR GO ZONES,4.Part,0.81,15,0.25
PART II—TAX ON CORPORATIONS,4.Part,PART II—CERTAIN CONTROLLED CORPORATIONS,4.Part,0.82,13,0.33
PART II—TAX ON CORPORATIONS,4.Part,PART II—CREDITS AGAINST TAX,4.Part,0.90,18,0.14
PART II—TAX ON CORPORATIONS,4.Part,PART II—OPERATIONS ON BONDED PREMISES,4.Part,0.82,20,0.29
PART II—TAX ON CORPORATIONS,4.Part,PART II—OPERATIONS,4.Part,0.79,10,0.20
PART II—TAX ON CORPORATIONS,4.Part,PART II—OPERATIONS,4.Part,0.79,10,0.20
PART II—TAX ON CORPORATIONS,4.Part,PART II—TAX ON TRANSFERRING FIREARMS,4.Part,0.84,18,0.50
PART II—TAX ON CORPORATIONS,4.Part,PART II—PARTNERSHIP ADJUSTMENTS,4.Part,0.84,18,0.17
§11. Tax imposed,6.Section,§1. Tax imposed,6.Section,0.83,1,0.50
§11. Tax imposed,6.Section,§11. Tax imposed,6.Section,1.00,0,1.00
§11. Tax imposed,6.Section,§164. Taxes,6.Section,0.51,9,0.00
§11. Tax imposed,6.Section,§166. Bad debts,6.Section,0.40,10,0.00
§11. Tax imposed,6.Section,Subpart A—Tax Imposed,5.Subpart,0.51,10,0.00
§11. Tax imposed,6.Section,§801. Tax imposed,6.Section,0.67,2,0.50
§11. Tax imposed,6.Section,§2101. Tax imposed,6.Section,0.68,2,0.50
§11. Tax imposed,6.Section,§2601. Tax imposed,6.Section,0.63,3,0.50
§12. Cross references relating to tax on corporations,6.Section,§5. Cross references relating to tax on individuals,6.Section,0.69,13,0.60
§12. Cross references relating to tax on corporations,6.Section,§12. Cross references relating to tax on corporations,6.Section,1.00,0,1.00
PART III—CHANGES IN RATES DURING A TAXABLE YEAR,4.Part,PART III—CHANGES IN RATES DURING A TAXABLE YEAR,4.Part,1.00,0,1.00
§15. Effect of changes,6.Section,§15. Effect of changes,6.Section,1.00,0,1.00
PART IV—CREDITS AGAINST TAX,4.Part,PART IV—CREDITS AGAINST TAX,4.Part,1.00,0,1.00
PART IV—CREDITS AGAINST TAX,4.Part,PART IV—DEDUCTION FOR DIVIDENDS PAID,4.Part,0.85,21,0.12
PART IV—CREDITS AGAINST TAX,4.Part,PART IV—MINERAL PRODUCTION PAYMENTS,4.Part,0.80,23,0.14
PART IV—CREDITS AGAINST TAX,4.Part,PART II—CREDITS AGAINST TAX,4.Part,0.85,1,0.60
PART IV—CREDITS AGAINST TAX,4.Part,PART IV—TAXABLE ESTATE,4.Part,0.85,15,0.17
PART IV—CREDITS AGAINST TAX,4.Part,PART IV—DECLARATORY JUDGMENTS,4.Part,0.80,19,0.17
Subpart A—Nonrefundable Personal Credits,5.Subpart,Subpart A—Nonrefundable Personal Credits,5.Subpart,1.00,0,1.00
Subpart A—Nonrefundable Personal Credits,5.Subpart,Subpart A—Private Activity Bonds,5.Subpart,0.82,23,0.14
§21. Expenses for household and dependent care services necessary for gainful employment,6.Section,§21. Expenses for household and dependent care services necessary for gainful employment,6.Section,1.00,0,1.00
§22. Credit for the elderly and the permanently and totally disabled,6.Section,§22. Credit for the elderly and the permanently and totally disabled,6.Section,1.00,0,1.00
§23. Adoption expenses,6.Section,§23. Adoption expenses,6.Section,1.00,0,1.00
§23. Adoption expenses,6.Section,§217. Moving expenses,6.Section,0.62,8,0.20
§24. Child tax credit,6.Section,§24. Child tax credit,6.Section,1.00,0,1.00
§25. Interest on certain home mortgages,6.Section,§25. Interest on certain home mortgages,6.Section,1.00,0,1.00
§25A. American Opportunity and Lifetime Learning credits,6.Section,§25A. Hope and Lifetime Learning credits,6.Section,0.87,19,0.62
§25B. Elective deferrals and IRA contributions by certain individuals,6.Section,§25B. Elective deferrals and IRA contributions by certain individuals,6.Section,1.00,0,1.00
§25C. Nonbusiness energy property,6.Section,§25C. Nonbusiness energy property,6.Section,1.00,0,1.00
§25D. Residential energy efficient property,6.Section,§25D. Residential energy efficient property,6.Section,1.00,0,1.00
§26. Limitation based on tax liability; definition of tax liability,6.Section,§26. Limitation based on tax liability; definition of tax liability,6.Section,1.00,0,1.00
Subpart B—Other Credits,5.Subpart,Subpart B—Other Credits,5.Subpart,1.00,0,1.00
Subpart B—Other Credits,5.Subpart,Subpart C—Refundable Credits,5.Subpart,0.75,11,0.50
Subpart B—Other Credits,5.Subpart,Subpart D—Inventories,5.Subpart,0.69,10,0.25
Subpart B—Other Credits,5.Subpart,Subpart B—Additional Expensing,5.Subpart,0.86,16,0.20
Subpart B—Other Credits,5.Subpart,Subpart D—Other Provisions,5.Subpart,0.81,8,0.20
Subpart B—Other Credits,5.Subpart,Subchapter B—Miscellaneous Provisions,3.Subchapter,0.85,24,0.00
Subpart B—Other Credits,5.Subpart,Subchapter B—Other Offenses,3.Subchapter,0.88,11,0.20
Subpart B—Other Credits,5.Subpart,Subchapter B—Other Requirements,3.Subchapter,0.84,13,0.20
§27. Taxes of foreign countries and possessions of the United States,6.Section,§27. Taxes of foreign countries and possessions of the United States; possession tax credit,6.Section,0.92,23,0.64
§27. Taxes of foreign countries and possessions of the United States,6.Section,§515. Taxes of foreign countries and possessions of the United States,6.Section,0.64,3,0.82
§27. Taxes of foreign countries and possessions of the United States,6.Section,§901. Taxes of foreign countries and of possessions of United States,6.Section,0.68,10,0.73
[§28. Renumbered §45C],6.Section,[§28. Renumbered §45C],6.Section,1.00,0,1.00
[§28. Renumbered §45C],6.Section,[§29. Renumbered §45K],6.Section,0.80,2,0.20
[§28. Renumbered §45C],6.Section,[§36C. Renumbered §23],6.Section,0.70,6,0.20
[§28. Renumbered §45C],6.Section,[§44A. Renumbered §21],6.Section,0.68,6,0.20
[§28. Renumbered §45C],6.Section,[§44C. Renumbered §23],6.Section,0.74,6,0.20
