Parent Title 2017,Hierarchy Level 2017,Total Children 2017,Parent Title 2018,Hierarchy Level 2018,Total Children 2018,Semantic Matches,Semantic Similarity Avg,Levenshtein_Matches,Levenshtein Distance Avg,Jaccard_Matches,Jaccard Similarity Avg,Matching Children,Matching Children Same Level
CONSOLIDATED RETURNS,2.Chapter,2,CONSOLIDA TED RETURNS,2.Chapter,2,4,0.9811710119247437,4,0.5,4,0.7857142857142857,4,4
JEOPARDY RECEIVERSHIPS ETC,2.Chapter,2,JEOP ARDY RECEIVERSHIPS ETC,2.Chapter,2,4,0.9538386464118958,4,0.5,2,1.0,2,2
TRANSFEREES AND FIDUCIARIES,2.Chapter,0,TRANSFEREES AND FIDUCIARIES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
LICENSING AND REGISTRATION,2.Chapter,2,LICENSING AND REGISTRA TION,2.Chapter,2,4,1.0000000298023224,4,0.0,4,1.0,4,4
BONDS,2.Chapter,0,BONDS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
CLOSING AGREEMENTS AND COMPROMISES,2.Chapter,0,CLOSING AGREEMENTS AND COMPROMISES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
CRIMES OTHER OFFENSES AND FORFEITURES,2.Chapter,4,CRIMES OTHER OFFENSES AND FORFEITURES,2.Chapter,4,7,0.967325074332101,7,0.42857142857142855,5,0.9142857142857143,5,5
JUDICIAL PROCEEDINGS,2.Chapter,5,JUDICIAL PROCEEDINGS,2.Chapter,5,10,0.997790801525116,10,0.2,10,0.925,10,10
MISCELLANEOUS PROVISIONS,2.Chapter,0,MISCELLANEOUS PROVISIONS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
DISCOVERY OF LIABILITY AND ENFORCEMENT OF TITLE,2.Chapter,4,DISCOVERY OF LIABILITY AND ENFORCEMENT OF TITLE,2.Chapter,4,8,0.9531653225421906,8,0.5,6,0.8333333333333334,6,6
DEFINITIONS,2.Chapter,0,DEFINITIONS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
GENERAL RULES,2.Chapter,3,GENERAL RULES,2.Chapter,3,6,0.9999999006589254,6,0.0,6,1.0,6,6
ORGANIZATION AND MEMBERSHIP OF THE JOINT COMMITTEE,2.Chapter,0,ORGANIZA TION AND MEMBERSHIP OF THE JOINT COMMITTEE,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
POWERS AND DUTIES OF THE JOINT COMMITTEE,2.Chapter,0,POWERS AND DUTIES OF THE JOINT COMMITTEE,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
PRESIDENTIAL ELECTION CAMPAIGN FUND,2.Chapter,0,PRESIDENTIAL ELECTION CAMP AIGN FUND,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
PRESIDENTIAL PRIMARY MATCHING PAYMENT ACCOUNT,2.Chapter,0,PRESIDENTIAL PRIMARY MATCHING P AYMENT ACCOUNT,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
TRUST FUND CODE,2.Chapter,1,TRUST FUND CODE,2.Chapter,1,2,0.9999998211860657,2,0.0,2,1.0,2,2
COAL INDUSTRY HEALTH BENEFITS,2.Chapter,4,COAL INDUSTRY HEAL TH BENEFITS,2.Chapter,4,8,0.9845491498708725,8,1.75,8,0.95,8,8
IIIADDITIONAL INCENTIVES,4.Part,0,IIID EFI NITIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIIADDITIONAL INCENTIVES FOR EMPOWERMENT ZONES,4.Part,4,IIIAD DITIONAL I NCENTIVE S F OR EMP OWERME NT ZO NES,4.Part,6,6,1.133669873078664,0,0.0,0,0.0,0,0
IIIADJUSTMENTS,4.Part,0,IIID EFI NITIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIIAPPLICABLE RULES,4.Part,0,IIIAP PLICABL E R ULES,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IIICELLAR TREATMENT AND CLASSIFICATION OF WINE,4.Part,0,IIICELLA R TRE ATME NT AN D CLA SSIFICATION O F W INE,4.Part,8,0,0.0,0,0.0,0,0.0,0,0
IIICHANGES IN RATES DURING A TAXABLE YEAR,4.Part,1,IIICH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,1,2,1.0,2,0.0,2,1.0,2,2
IIICOMMON NONTAXABLE EXCHANGES,4.Part,0,IIICO MMON N ONTAXABL E EXCHANGES,4.Part,14,0,0.0,0,0.0,0,0.0,0,0
IIICORPORATE ORGANIZATIONS AND REORGANIZATIONS,4.Part,5,IIICO RPORATE O RGANIZATIONS AN D REO RGANIZATIONS,4.Part,13,0,0.0,0,0.0,0,0.0,0,0
IIIDEFINITIONS,4.Part,0,IIID EFI NITIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIIDEFINITIONS SPECIAL RULES,4.Part,0,IIID EFI NITIONS SPECI AL R ULES,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IIIENFORCEMENT,4.Part,0,IIID EFI NITIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIIFIREARMS,4.Part,0,IIIFI REARMS,4.Part,18,0,0.0,0,0.0,0,0.0,0,0
IIIGENERAL RULES FOR DETER MINING CAPITAL GAINS AND LOSSES,4.Part,0,IIIG ENERAL R ULES F OR DETE RMINING C APITAL G AINS AN D L OSSES,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
IIIGROSS ESTATE,4.Part,0,IIIG ROSS E STATE,4.Part,18,0,0.0,0,0.0,0,0.0,0,0
IIIINCOME FROM SOURCES WITHOUT THE UNITED STATES,4.Part,10,IIII NCOME FRO M SO URCE S W ITHOUT THE U NITED S TATES,4.Part,47,4,1.2540759444236755,0,0.0,0,0.0,0,0
IIIINFORMATION RETURNS,4.Part,6,IIIFI REARMS,4.Part,18,5,1.3139110803604126,0,0.0,0,0.0,0,0
IIIITEMS SPECIFICALLY EXCLUDED FROM GROSS INCOME,4.Part,0,IIIITEMS S PECIFI CALL Y EX CLUDED FRO M G ROSS INCOME,4.Part,49,0,0.0,0,0.0,0,0.0,0,0
IIIPETROLEUM PRODUCTS,4.Part,2,IIIP ETRO LEUM P RODUCTS,4.Part,13,2,0.8574108481407166,0,0.0,0,0.0,0,0
IIIPROVISIONS OF GENERAL APPLICATION,4.Part,0,IIIP ROVIS IONS O F G ENERAL APPLICATION,4.Part,8,0,0.0,0,0.0,0,0.0,0,0
IIIRECOVERY ZONE BONDS,4.Part,0,IIIS PECI AL P ROVIS IONS,4.Part,107,0,0.0,0,0.0,0,0.0,0,0
IIIREPEALED,4.Part,0,IIIREP EALED,4.Part,16,0,0.0,0,0.0,0,0.0,0,0
IIISALES AND EXCHANGES,4.Part,0,IIIS ALES AN D EX CHANGES,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IIISPECIAL PROVISIONS,4.Part,0,IIID EFI NITIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIISPECIAL RULES,4.Part,0,IIID EFI NITIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIISPECIAL RULES WITH RESPECT TO CERTAIN CASH,4.Part,0,IIIS PECI AL R ULES W ITH RE SPECT TO CE RTAIN C ASH,4.Part,20,0,0.0,0,0.0,0,0.0,0,0
IIITAX ON MAKING FIREARMS,4.Part,0,IIT AX O N TRAN SFERRI NG FIREARMS,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IIITAXATION OF BUSINESS INCOME OF CERTAIN EXEMPT ORGANIZATIONS,4.Part,0,IIIT AXATION O F B USINESS INCOME OF CE RTAIN EXEMPT O RGANIZATIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
II UMWA BENEFIT PLAN,4.Part,0,II U MWA B ENEFIT P LAN,4.Part,16,0,0.0,0,0.0,0,0.0,0,0
IIACCURACYRELATED AND FRAUD PENALTIES,4.Part,0,IIA CCU RACYRELA TED AN D FRA UD PENALTIES,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIBASIS RULES OF GENERAL APPLICATION,4.Part,0,IIB ASIS R ULES O F G ENERAL APPLICATION,4.Part,14,0,0.0,0,0.0,0,0.0,0,0
IICERTAIN CONTROLLED CORPORATIONS,4.Part,0,IICE RTAIN CO NTRO LLED CORPORATIONS,4.Part,5,0,0.0,0,0.0,0,0.0,0,0
IICERTAIN STOCK OPTIONS,4.Part,0,IICO RPORATE LI QUIDATIONS,4.Part,8,0,0.0,0,0.0,0,0.0,0,0
IICONTRIBUTIONS DISTRIBUTIONS AND TRANSFERS,4.Part,4,IICO NTRI BUTI ONS DISTRI BUTI ONS AND TRAN SFERS,4.Part,16,8,1.8637076318264008,0,0.0,0,0.0,0,0
IICORPORATE LIQUIDATIONS,4.Part,3,IICO RPORATE LI QUIDATIONS,4.Part,8,0,0.0,0,0.0,0,0.0,0,0
IICREDITS AGAINST TAX,4.Part,0,IICO RPORATE LI QUIDATIONS,4.Part,8,0,0.0,0,0.0,0,0.0,0,0
IIEXEMPTIONS,4.Part,0,IIEXEMPTI ONS,4.Part,9,0,0.0,0,0.0,0,0.0,0,0
IIFINANCING,4.Part,0,IIFI NANCING,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
IIINCOME IN RESPECT OF DECEDENTS,4.Part,0,III NCOME I N RE SPECT O F DECED ENTS,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
IIITEMS SPECIFICALLY INCLUDED IN GROSS INCOME,4.Part,0,IIITEMS S PECIFI CALL Y INCLUDED IN G ROSS INCOME,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IIJEOPARDY ASSESSMENTS,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IILEVY,4.Part,0,IIL EVY,4.Part,63,0,0.0,0,0.0,0,0.0,0,0
IILIENS,4.Part,0,IILI ENS,4.Part,9,0,0.0,0,0.0,0,0.0,0,0
IIMETHODS OF ACCOUNTING,4.Part,4,IIO PERATIONS,4.Part,21,6,1.3677608966827393,0,0.0,0,0.0,0,0
IIMITIGATION OF EFFECT OF LIMITATIONS AND OTHER PROVISIONS,4.Part,0,IIM ITIGATION O F EF FECT O F LIMITATIONS AN D OT HER P ROVIS IONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIMUTUAL SAVINGS BANKS ETC,4.Part,0,IIM UTU AL S AVINGS B ANKS ETC,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
IINONRESIDENT ALIENS AND FOREIGN CORPORATIONS,4.Part,4,IIN ONRESIDENT ALI ENS AN D FOREI GN CO RPORATIONS,4.Part,24,0,0.0,0,0.0,0,0.0,0,0
IIOPERATIONS,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IIOPERATIONS ON BONDED PREMISES,4.Part,4,IIO PERATIONS O N BO NDED PREM ISES,4.Part,18,0,0.0,0,0.0,0,0.0,0,0
IIOTHER INSURANCE COMPANIES,4.Part,0,IIOT HER INSURAN CE CO MPANIES,4.Part,5,0,0.0,0,0.0,0,0.0,0,0
IIPARTNERSHIP ADJUSTMENTS,4.Part,0,IIJ EOPARDY A SSESSMENTS,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
IIPENALTIES APPLICABLE TO CERTAIN TAXES,4.Part,0,IIP ENALTIES AP PLICABL E TO CERTAIN T AXE S,4.Part,23,0,0.0,0,0.0,0,0.0,0,0
IIPERSONAL HOLDING COMPANIES,4.Part,0,IIP ERSO NAL H OLDING CO MPANIES,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
IIPRIVATE FOUNDATIONS,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IIPROCEDURE,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IIPROPERTY,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IIPROPERTY and items,4.Part,0,IIP ROPERTY a nd items a nd,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IIPROVISIONS COMMON TO FORFEITURES,4.Part,0,IIP RIV ATE F OUNDATIONS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIREAL ESTATE INVESTMENT TRUSTS,4.Part,0,IIRE AL E STATE I NVE STME NT TRUSTS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IIREGULATION OF TRAFFIC IN CONTAINERS OF DISTILLED SPIRITS,4.Part,0,IIREG ULATION O F TRAF FIC IN CONTAINERS O F D ISTILLED S PIRIT S,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IIREPEALED,4.Part,0,IIREP EALED,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IITAX ON CORPORATIONS,4.Part,2,IIT AX O N CO RPORATIONS,4.Part,2,4,1.0000000596046448,4,0.0,4,1.0,4,4
IITAX ON TRANSFERRING FIREARMS,4.Part,0,IIT AX O N TRAN SFERRI NG FIREARMS,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IITAX RETURNS OR STATEMENTS,4.Part,3,IIT AX RETU RNS O R S TATEME NTS,4.Part,13,3,1.0851179758707683,0,0.0,0,0.0,0,0
IITAX TREATMENT OF SHAREHOLDERS,4.Part,0,IIT AX TRE ATME NT O F SHAREHOLDERS,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
IITIRES,4.Part,0,IITI RES,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IITREATMENT OF CAPITAL LOSSES,4.Part,0,IICO RPORATE LI QUIDATIONS,4.Part,8,0,0.0,0,0.0,0,0.0,0,0
IIVOLATILE FRUITFLAVOR CONCENTRATE PLANTS,4.Part,0,IIV OLATILE FR UITFLA VOR CONCENTRA TE P LANT S,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IVCREDITS AGAINST TAX,4.Part,8,IVCRED ITS A GAINST T AX,4.Part,78,10,1.3037620902061462,0,0.0,0,0.0,0,0
IVDECLARATORY JUDGMENTS,4.Part,0,IVD ECLA RATORY J UDGMENTS,4.Part,135,0,0.0,0,0.0,0,0.0,0,0
IVDEDUCTION FOR DIVIDENDS PAID,4.Part,0,IVD EFI NITIONS AN D S PECI AL RULES,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IVDEFINITIONS MISCELLANEOUS,4.Part,0,IVD EFI NITIONS MISCELLAN EOUS,4.Part,3,0,0.0,0,0.0,0,0.0,0,0
IVDOMESTIC INTERNATIONAL SALES CORPORATIONS,4.Part,2,IVDO MESTIC INTE RNATIONAL S ALES CORPORATIONS,4.Part,6,0,0.0,0,0.0,0,0.0,0,0
IVFARMERS COOPERATIVES,4.Part,0,IVF ARME RS COO PERATIVE S,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IVGENERAL,4.Part,0,IVG ENERAL,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IVINCENTIVES FOR EDUCATION ZONES,4.Part,0,IVI NCENTIVE S F OR ED UCATION ZONES,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IVMINERAL PRODUCTION PAYMENTS,4.Part,0,IVM INERAL P RODUCTI ON P AYME NTS,4.Part,0,0,0.0,0,0.0,0,0.0,0,0
IVOTHER PROVISIONS,4.Part,0,IIO PERATIONS,4.Part,21,0,0.0,0,0.0,0,0.0,0,0
IVREAL ESTATE MORTGAGE INVESTMENT CONDUITS,4.Part,0,IVRE AL E STATE M ORTGAGE INVE STME NT CO NDUITS,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
IVREPEALED,4.Part,0,IVREP EALED,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IVSIGNING AND VERIFYING OF RETURNS AND OTHER DOCUMENTS,4.Part,1,IVS IGNING AN D VE RIF YING O F RETU RNS AN D OT HER DOCU MENTS,4.Part,2,2,0.872589111328125,0,0.0,0,0.0,0,0
IVSPECIAL RULES,4.Part,0,IVS PECI AL R ULES,4.Part,14,0,0.0,0,0.0,0,0.0,0,0
IVTAXABLE ESTATE,4.Part,0,IVT AXABL E E STATE,4.Part,138,0,0.0,0,0.0,0,0.0,0,0
IXITEMS NOT DEDUCTIBLE,4.Part,0,IXITEMS N OT D EDUCTI BLE,4.Part,32,0,0.0,0,0.0,0,0.0,0,0
IXREPEALED,4.Part,0,IXREP EALED,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IACCOUNTING PERIODS,4.Part,0,IA CCO UNTI NG P ERIODS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
ICORPORATIONS IMPROPERLY ACCUMULATING SURPLUS,4.Part,0,ICO RPORATIONS IMPROPERLY ACCU MULATING S URPLUS,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
IDEDUCTIONS,4.Part,0,ID ESIGNATION,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IDESIGNATION,4.Part,0,ID ESIGNATION,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IDETERMINATION OF TAX LIABILITY,4.Part,0,ID ETE RMINATION O F T AX LIABILITY,4.Part,9,0,0.0,0,0.0,0,0.0,0,0
IDISTRIBUTIONS BY CORPORATIONS,4.Part,3,ID ISTRI BUTI ONS B Y CO RPORATIONS,4.Part,12,0,0.0,0,0.0,0,0.0,0,0
IDUE PROCESS FOR COLLECTIONS,4.Part,0,IA CCO UNTI NG P ERIODS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IDUE PROCESS FOR LIENS,4.Part,0,IA CCO UNTI NG P ERIODS,4.Part,4,0,0.0,0,0.0,0,0.0,0,0
IESTABLISHMENT,4.Part,0,II NCOME A VERAGING,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IESTABLISHMENT AND BENEFITS,4.Part,0,IE STABLIS HMENT AN D B ENEFIT S,4.Part,2,0,0.0,0,0.0,0,0.0,0,0
IESTATES TRUSTS AND BENEFICIARIES,4.Part,6,IE STATES TR USTS AN D BENEFI CIARIES,4.Part,30,10,1.315714132785797,0,0.0,0,0.0,0,0
IGALLONAGE TAXES,4.Part,5,IG ALL ONAGE T AXE S,4.Part,29,0,0.0,6,16.666666666666668,0,0.0,0,0
IGAS GUZZLERS,4.Part,0,IG AS G UZZL ERS,4.Part,1,0,0.0,0,0.0,0,0.0,0,0
IGENERAL PROVISIONS,4.Part,0,IG ENERAL R ULE,4.Part,5,0,0.0,0,0.0,0,0.0,0,0
IIN GENERAL,4.Part,0,II N G ENERAL,4.Part,7,0,0.0,0,0.0,0,0.0,0,0
