Parent Title 2017,Hierarchy Level 2017,Parent Title 2018,Hierarchy Level 2018,Child Title 2017,Child Title 2018,Child Hierarchy Level 2017,Child Hierarchy Level 2018,Semantic Similarity Score
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART V—REP EALED],4.Part,4.Part,0.98383677
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78992414
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.81583685
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7998808
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8035921
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.84158707
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART V—REP EALED],4.Part,4.Part,0.8181497
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.90575063
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7982278
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7924773
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.82133126
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.82147455
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART V—REP EALED],4.Part,4.Part,0.7525376
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.84509444
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7636107
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73840964
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.68680954
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.774806
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART V—REP EALED],4.Part,4.Part,0.89940506
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.795598
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.9411355
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8233829
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.7957833
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8049227
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART V—REP EALED],4.Part,4.Part,0.7671819
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8162199
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8425883
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.9093969
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.78853273
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8059274
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART V—REP EALED],4.Part,4.Part,0.7567704
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78834057
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.76361585
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.78349483
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.9006847
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.81818336
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART V—REP EALED],4.Part,4.Part,0.6862182
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.80552167
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8365874
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8284106
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8220036
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.89812416
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART V—REP EALED],4.Part,4.Part,0.8077395
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8398809
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.75115097
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73174316
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.6853507
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.7992197
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART V—REP EALED],4.Part,4.Part,0.98383677
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78992414
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.81583685
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7998808
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8035921
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.84158707
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART V—REP EALED],4.Part,4.Part,0.8181497
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.90575063
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7982278
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7924773
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.82133126
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.82147455
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART V—REP EALED],4.Part,4.Part,0.7525376
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.84509444
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7636107
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73840964
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.68680954
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.774806
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART V—REP EALED],4.Part,4.Part,0.89940506
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.795598
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -","PART I—D EFI NITION O F G ROSS INCOME, AD - JUSTED G ROSS I NCOME, T AXABL E I N-",4.Part,4.Part,0.8913804
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART II—ITEMS S PECIFI CALL Y INCLUDED IN G ROSS INCOME,4.Part,4.Part,0.86933625
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART III—ITEMS S PECIFI CALL Y EX CLUDED FRO M G ROSS INCOME,4.Part,4.Part,0.84991586
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART IV—T AX EXEMPTI ON REQ UIREME NTS FOR S TATE AN D L OCAL BO NDS,4.Part,4.Part,0.83134377
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART V—D EDUCTI ONS F OR P ERSO NAL EXEMPTI ONS,4.Part,4.Part,0.7969307
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART VI—ITEM IZED D EDUCTI ONS F OR INDIVIDUALS AN D CO RPORATIONS,4.Part,4.Part,0.8465667
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART IX—ITEMS N OT D EDUCTI BLE,4.Part,4.Part,0.8056142
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART X—TE RMINAL RAI LRO AD CORPORATIONS AN D T HEIR S HAREHOLDERS,4.Part,4.Part,0.8105329
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,PART II—ITEMS SPECIFICALLY INCLUDED   IN GROSS INCOME,"PART I—D EFI NITION O F G ROSS INCOME, AD - JUSTED G ROSS I NCOME, T AXABL E I N-",4.Part,4.Part,0.7866173
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,PART II—ITEMS SPECIFICALLY INCLUDED   IN GROSS INCOME,PART II—ITEMS S PECIFI CALL Y INCLUDED IN G ROSS INCOME,4.Part,4.Part,0.9347993
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,PART II—ITEMS SPECIFICALLY INCLUDED   IN GROSS INCOME,PART III—ITEMS S PECIFI CALL Y EX CLUDED FRO M G ROSS INCOME,4.Part,4.Part,0.85147583
