Parent Title 2017,Hierarchy Level 2017,Parent Title 2018,Hierarchy Level 2018,Child Title 2017,Child Title 2018,Child Hierarchy Level 2017,Child Hierarchy Level 2018,Semantic Similarity Score,Angle (Degrees)
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 23A—RAILROAD UNEMPLOYMENT   REPAYMENT TAX,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7825775,38.5028190612793
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 24—COLLECTION OF INCOME TAX   AT SOURCE ON WAGES,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7830641,38.458011627197266
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 25—GENERAL PROVISIONS   RELATING TO EMPLOYMENT TAXES,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7822184,38.535858154296875
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.9411355,19.75686264038086
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8233829,34.575111389160156
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.7957833,37.27069854736328
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8049227,36.39720916748047
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART V—REP EALED],4.Part,4.Part,0.7671819,39.898502349853516
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8162199,35.29183578491211
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8425883,32.58554458618164
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.9093969,24.57785987854004
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.78853273,37.951393127441406
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8059274,36.30008316040039
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART V—REP EALED],4.Part,4.Part,0.7567704,40.81969451904297
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78834057,37.96929168701172
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.76361585,40.21598815917969
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.78349483,38.41831588745117
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.9006847,25.751781463623047
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.81818336,35.09664535522461
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART V—REP EALED],4.Part,4.Part,0.6862182,46.66851043701172
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.80552167,36.339332580566406
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8365874,33.218502044677734
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8284106,34.06418228149414
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8220036,34.71413040161133
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.89812416,26.087417602539062
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART V—REP EALED],4.Part,4.Part,0.8077395,36.12434005737305
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8398809,32.87245559692383
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.75115097,41.30982208251953
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73174316,42.96726989746094
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.6853507,46.7368049621582
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.7992197,36.944339752197266
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART V—REP EALED],4.Part,4.Part,0.98383677,10.315454483032227
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78992414,37.82157516479492
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.81583685,35.32980728149414
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7998808,36.88127899169922
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8035921,36.52549362182617
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.84158707,32.6919059753418
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART V—REP EALED],4.Part,4.Part,0.8181497,35.10000228881836
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.90575063,25.075428009033203
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7982278,37.03879928588867
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7924773,37.582374572753906
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.82133126,34.781715393066406
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.82147455,34.7673225402832
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART V—REP EALED],4.Part,4.Part,0.7525376,41.18932342529297
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.84509444,32.31794357299805
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7636107,40.21644592285156
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73840964,42.40388107299805
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.68680954,46.62191390991211
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.774806,39.212547302246094
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART V—REP EALED],4.Part,4.Part,0.89940506,25.92002296447754
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.795598,37.28822708129883
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.9411355,19.75686264038086
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8233829,34.575111389160156
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.7957833,37.27069854736328
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8049227,36.39720916748047
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART V—REP EALED],4.Part,4.Part,0.7671819,39.898502349853516
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8162199,35.29183578491211
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8425883,32.58554458618164
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.9093969,24.57785987854004
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.78853273,37.951393127441406
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8059274,36.30008316040039
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART V—REP EALED],4.Part,4.Part,0.7567704,40.81969451904297
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78834057,37.96929168701172
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.76361585,40.21598815917969
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.78349483,38.41831588745117
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.9006847,25.751781463623047
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.81818336,35.09664535522461
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART V—REP EALED],4.Part,4.Part,0.6862182,46.66851043701172
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.80552167,36.339332580566406
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8365874,33.218502044677734
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8284106,34.06418228149414
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8220036,34.71413040161133
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.89812416,26.087417602539062
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART V—REP EALED],4.Part,4.Part,0.8077395,36.12434005737305
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8398809,32.87245559692383
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.75115097,41.30982208251953
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73174316,42.96726989746094
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.6853507,46.7368049621582
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.7992197,36.944339752197266
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART V—REP EALED],4.Part,4.Part,0.98383677,10.315454483032227
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78992414,37.82157516479492
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.81583685,35.32980728149414
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7998808,36.88127899169922
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8035921,36.52549362182617
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.84158707,32.6919059753418
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART V—REP EALED],4.Part,4.Part,0.8181497,35.10000228881836
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VI—ALTERNATIVE MINIMUM TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.90575063,25.075428009033203
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7982278,37.03879928588867
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.7924773,37.582374572753906
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.82133126,34.781715393066406
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.82147455,34.7673225402832
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART V—REP EALED],4.Part,4.Part,0.7525376,41.18932342529297
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VII—BASE EROSION AND ANTI-   ABUSE TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.84509444,32.31794357299805
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.7636107,40.21644592285156
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73840964,42.40388107299805
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.68680954,46.62191390991211
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.774806,39.212547302246094
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART V—REP EALED],4.Part,4.Part,0.89940506,25.92002296447754
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART VIII—REPEALED],PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.795598,37.28822708129883
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -","PART I—D EFI NITION O F G ROSS INCOME, AD - JUSTED G ROSS I NCOME, T AXABL E I N-",4.Part,4.Part,0.8913804,26.95277214050293
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART II—ITEMS S PECIFI CALL Y INCLUDED IN G ROSS INCOME,4.Part,4.Part,0.86933625,29.61840057373047
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART III—ITEMS S PECIFI CALL Y EX CLUDED FRO M G ROSS INCOME,4.Part,4.Part,0.84991586,31.7974796295166
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART IV—T AX EXEMPTI ON REQ UIREME NTS FOR S TATE AN D L OCAL BO NDS,4.Part,4.Part,0.83134377,33.76297378540039
Subchapter B—Computation of Taxable Income,3.Subchapter,Subchapter B—Computation of Taxable Income,3.Subchapter,"PART I—DEFINITION OF GROSS INCOME,   ADJUSTED GROSS INCOME, TAXABLE IN -",PART V—D EDUCTI ONS F OR P ERSO NAL EXEMPTI ONS,4.Part,4.Part,0.7969307,37.16200256347656
