2018 Headline,2017 Headline,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
6. **Chapter 6**: Consolidated Returns,Chapter 6: Consolidated Returns,0.87,7,0.29
#NAME?,Privilege to file consolidated returns.,0.85,3,0.83
#NAME?,Definitions and special rules.,0.88,3,0.8
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
---,,0.21,3,0
---,---,1,0,1
---,,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
#### Subtitle B—Estate and Gift Taxes,#### Subtitle B—Estate and Gift Taxes,1,0,1
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
1. **Chapter 11**: Estate Tax,Chapter 11: Estate Tax,0.84,7,0.29
#NAME?,Subchapter A: General Provisions,0.93,2,0.8
#NAME?,Subchapter B: Credits Against Tax,0.94,2,0.83
#NAME?,Subchapter C: Additional Taxes,0.94,2,0.8
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
2. **Chapter 12**: Gift Tax,Chapter 12: Gift Tax,0.81,7,0.29
#NAME?,Subchapter A: Determination of Tax Liability,0.81,20,0.5
#NAME?,Subchapter A: Imposition of Tax,0.92,2,0.83
#NAME?,Subchapter A: Tax Imposed,0.88,18,0.43
#NAME?,Subchapter B: Exclusions and Deductions,0.95,2,0.83
#NAME?,Subchapter B: Exceptions and Special Rules,0.84,16,0.33
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
3. **Chapter 13**: Tax on Generation-Skipping Transfers,Chapter 13: Tax on Generation-Skipping Transfers,0.84,7,0.44
#NAME?,Subchapter A: Imposition of Tax,0.89,18,0.43
#NAME?,Subchapter A: Tax Imposed,0.93,2,0.8
#NAME?,Subchapter B: Exclusions and Deductions,0.82,16,0.33
#NAME?,Subchapter B: Exceptions and Special Rules,0.96,2,0.86
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
4. **Chapter 14**: Special Valuation Rules,Chapter 14: Special Valuation Rules,0.87,7,0.38
#NAME?,Valuation principles.,0.85,3,0.67
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
